,Q1,Q1,Q1,Q2,Q2,Q2,Q3,Q3,Q3,Q4,Q4,Q4
,mean,std,count,mean,std,count,mean,std,count,mean,std,count
interface,,,,,,,,,,,,
C,1.3333333333333333,0.5773502691896257,3,1.0,0.0,3,6.0,1.0,3,5.333333333333333,2.081665999466133,3
D,6.4,0.8944271909999159,5,3.0,2.8284271247461903,5,3.8,2.16794833886788,5,1.8,1.3038404810405297,5
D1,4.0,2.6457513110645907,3,4.333333333333333,1.5275252316519465,3,4.666666666666667,1.5275252316519468,3,2.3333333333333335,1.1547005383792515,3
Y,1.3333333333333333,0.5773502691896257,3,3.3333333333333335,2.5166114784235836,3,2.3333333333333335,1.5275252316519468,3,4.0,1.7320508075688772,3
Y1,3.6666666666666665,2.0816659994661326,3,4.333333333333333,3.0550504633038935,3,1.6666666666666667,0.5773502691896257,3,3.3333333333333335,2.0816659994661326,3
