,Q1,Q1,Q1,Q2,Q2,Q2,Q3,Q3,Q3,Q4,Q4,Q4
,mean,std,count,mean,std,count,mean,std,count,mean,std,count
interface,,,,,,,,,,,,
C,2.0,1.0,3,1.0,0.0,3,7.0,0.0,3,5.666666666666667,1.5275252316519465,3
D,6.666666666666667,0.5773502691896257,3,4.0,3.0,3,5.0,1.7320508075688772,3,1.6666666666666667,1.1547005383792517,3
D1,3.8,2.16794833886788,5,2.0,1.4142135623730951,5,4.8,1.0954451150103321,5,3.2,1.6431676725154984,5
Y,1.0,0.0,3,1.3333333333333333,0.5773502691896257,3,5.0,1.7320508075688772,3,5.0,2.6457513110645907,3
Y1,2.3333333333333335,0.5773502691896258,3,5.0,2.0,3,2.3333333333333335,1.1547005383792517,3,3.6666666666666665,2.5166114784235836,3
