,Q1,Q1,Q1,Q2,Q2,Q2,Q3,Q3,Q3,Q4,Q4,Q4
,mean,std,count,mean,std,count,mean,std,count,mean,std,count
interface,,,,,,,,,,,,
C,2.1176470588235294,1.21872643265298,17,1.411764705882353,0.8702602720890288,17,6.117647058823529,1.3173056280328643,17,5.647058823529412,1.4975470138942315,17
D,6.529411764705882,0.7174300539794393,17,4.470588235294118,2.3483410915693104,17,3.823529411764706,1.9759584420492964,17,1.7058823529411764,1.403776419268438,17
D1,3.6470588235294117,1.9345922202943773,17,2.2941176470588234,1.4901638283404,17,5.117647058823529,1.0537049480984033,17,3.0588235294117645,1.4348601079588785,17
Y,2.235294117647059,1.3476559169863187,17,3.0588235294117645,2.105664628902657,17,3.235294117647059,1.7510501051050011,17,4.0,1.9039432764659774,17
Y1,2.823529411764706,1.7042334830374275,17,3.823529411764706,2.2976970567735604,17,2.6470588235294117,1.868862503991005,17,3.411764705882353,1.9383892646154617,17
