,Q1,Q1,Q1,Q2,Q2,Q2,Q3,Q3,Q3,Q4,Q4,Q4
,mean,std,count,mean,std,count,mean,std,count,mean,std,count
interface,,,,,,,,,,,,
C,2.6666666666666665,2.0816659994661326,3,2.0,1.0,3,6.0,1.0,3,6.0,1.0,3
D,6.333333333333333,0.5773502691896258,3,5.333333333333333,2.081665999466133,3,5.0,1.0,3,2.6666666666666665,2.8867513459481287,3
D1,4.666666666666667,2.309401076758503,3,1.6666666666666667,1.1547005383792517,3,6.333333333333333,0.5773502691896257,3,4.0,2.0,3
Y,1.6666666666666667,0.5773502691896258,3,3.0,3.4641016151377544,3,3.6666666666666665,2.516611478423583,3,3.0,2.6457513110645907,3
Y1,4.2,1.7888543819998317,5,4.0,1.8708286933869707,5,2.6,2.5099800796022267,5,3.2,2.280350850198276,5
